Horario da captura:  2:03:43 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  2:03:44 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  2:03:45 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  2:03:46 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  2:03:47 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  2:03:48 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  2:03:49 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :45.1'C
Horario da captura:  2:03:51 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  2:03:52 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  2:03:53 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :45.1'C
Horario da captura:  2:03:54 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.5'C
Horario da captura:  2:03:55 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :45.1'C
Horario da captura:  2:03:56 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :44.0'C
Horario da captura:  2:03:57 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :45.1'C
Horario da captura:  2:03:58 PM -03 on 16, 2018; Temperatura na CPU: 45.084; Temperatura na GPU :44.0'C
Horario da captura:  2:03:59 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :45.1'C
Horario da captura:  2:04:00 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.5'C
Horario da captura:  2:04:01 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.0'C
Horario da captura:  2:04:02 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.5'C
Horario da captura:  2:04:03 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:04 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.5'C
Horario da captura:  2:04:05 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :45.1'C
Horario da captura:  2:04:06 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :45.1'C
Horario da captura:  2:04:07 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.0'C
Horario da captura:  2:04:08 PM -03 on 16, 2018; Temperatura na CPU: 44.546; Temperatura na GPU :44.0'C
Horario da captura:  2:04:09 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:10 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:11 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.5'C
Horario da captura:  2:04:12 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
Horario da captura:  2:04:13 PM -03 on 16, 2018; Temperatura na CPU: 44.007; Temperatura na GPU :44.0'C
